dataset,country,region,crop,season,year_start,yield_t_ha,split,predicted_yield_t_ha,prediction_error_t_ha,heat_days_35,max_consecutive_heat_days_35,heatwave_events_3d_35,max_dry_spell_1mm,dry_spell_events_14d,hot_dry_days_30_1mm,heavy_rain_days_20,heavy_rain_days_50,max_3day_rain,max_7day_rain,rainfall_concentration_index,rain_last_14d_before_harvest,heavy_rain_days_last_14d_before_harvest,storm_before_harvest_flag,frost_days_0
aus_us_wheat,United States,Oklahoma,Wheat,2018,2018,1.883,test,2.3136601173924403,-0.43066011739244026,32,6,4,11,0,82,9,1,82.8,94.85,0.0333869550349212,37.14,0,0,0
aus_us_wheat,Australia,South Australia,Wheat,2020-21,2020,2.174911181201273,test,2.322626251024719,-0.14771506982344595,0,0,0,27,2,3,1,0,34.2,38.2,0.0416633686250174,9.5,0,0,7
aus_us_wheat,United States,Texas,Wheat,2016,2016,2.152,test,2.3370733052205503,-0.1850733052205502,42,25,2,17,4,90,8,0,78.41,120.85,0.0366758106373395,0.63,0,0,0
aus_us_wheat,Australia,Victoria,Wheat,2019-20,2019,2.599499460057934,test,2.3493230710007547,0.25017638905717954,1,1,0,21,3,5,1,0,31.3,35.8,0.0394356148448994,1.0,0,0,10
aus_us_wheat,Australia,Western Australia,Wheat,2021-22,2021,2.7382649527215324,test,2.3679977461143267,0.3702672066072057,0,0,0,16,2,3,0,0,20.4,35.0,0.0286008839530871,36.49999999999999,0,0,1
aus_us_wheat,Australia,New South Wales,Wheat,2021-22,2021,3.334367693589138,test,2.3999817144332694,0.9343859791558686,0,0,0,15,1,0,1,0,63.8,67.0,0.0352796878851498,0.4,0,1,36
aus_us_wheat,Australia,Queensland,Wheat,2016-17,2016,2.413383542511456,test,2.404060224499428,0.009323318012028015,0,0,0,15,2,6,2,0,39.2,71.1,0.0465960728493921,12.8,0,0,14
aus_us_wheat,United States,Montana,Wheat,2021,2021,1.49295,test,2.4336396201146884,-0.9406896201146884,3,2,0,24,1,32,0,0,35.52,40.92,0.0299730856302684,11.789999999999996,0,0,16
aus_us_wheat,United States,Colorado,Wheat,2017,2017,2.9052,test,2.4388743712695162,0.46632562873048355,0,0,0,30,2,0,0,0,25.43,44.400000000000006,0.0197323571376334,5.07,0,0,45
aus_us_wheat,United States,Texas,Wheat,2017,2017,1.95025,test,2.4389414659428463,-0.4886914659428463,57,8,11,13,0,102,3,0,61.0,68.31,0.0368059944500548,13.23,0,0,0
us_overlap,United States,Oklahoma,Canola,2016,2016,1.6252325,test,1.2617569685714263,0.3634755314285738,20,5,2,11,0,72,3,0,39.93,58.41,0.0251347903977721,5.07,0,0,0
us_overlap,United States,Montana,Canola,2017,2017,0.963931,test,1.264851755952379,-0.3009207559523791,1,1,0,25,2,36,2,0,50.47,55.29,0.0429976974583434,8.37,0,0,24
us_overlap,United States,Oklahoma,Canola,2017,2017,1.34502,test,1.287488504285712,0.05753149571428806,32,12,4,14,1,77,8,1,68.8,83.77,0.0374243242026233,35.059999999999995,1,1,1
us_overlap,United States,Montana,Canola,2021,2021,1.008765,test,1.3217917180952359,-0.31302671809523597,3,2,0,24,1,32,0,0,35.52,40.92,0.0299730856302684,11.789999999999996,0,0,16
us_overlap,United States,Oklahoma,Oats,2018,2018,1.72176,test,1.329997304523809,0.391762695476191,32,6,4,11,0,82,9,1,82.8,94.85,0.0333869550349212,37.14,0,0,0
us_overlap,United States,Oklahoma,Canola,2018,2018,0.986348,test,1.3359866897619026,-0.3496386897619026,32,6,4,11,0,82,9,1,82.8,94.85,0.0333869550349212,37.14,0,0,0
us_overlap,United States,Oklahoma,Oats,2017,2017,1.50654,test,1.3536231192857142,0.15291688071428577,32,12,4,14,1,77,8,1,68.8,83.77,0.0374243242026233,35.059999999999995,1,1,1
us_overlap,United States,Oklahoma,Oats,2021,2021,1.61415,test,1.3563742547619049,0.2577757452380951,27,6,4,25,1,72,11,0,101.87,157.79,0.0348545118232219,17.29,0,1,0
us_overlap,United States,Oklahoma,Oats,2016,2016,1.54241,test,1.3635239721428551,0.1788860278571449,20,5,2,11,0,72,3,0,39.93,58.41,0.0251347903977721,5.07,0,0,0
us_overlap,United States,Oklahoma,Oats,2019,2019,1.7935,test,1.372407098333333,0.42109290166666713,15,6,2,20,1,66,13,0,86.14,149.25,0.0268197115105123,91.58,2,1,3
