country,region,year_start,weather_regime,best_crop,best_predicted_yield_t_ha,season_rain_sum,season_rain_mean,heat_days_35,hot_dry_days_30_1mm,max_dry_spell_1mm,max_3day_rain,rain_last_14d_before_harvest,storm_before_harvest_flag,frost_days_0,runner_up_crop,runner_up_predicted_yield_t_ha,best_crop_yield_advantage_t_ha
Australia,Tasmania,2002,Cold/frost stress,Wheat,3.841691735787253,371.8,2.020652173913044,0,0,18,24.7,25.8,0,26,Barley,2.868634580157114,0.9730571556301388
Australia,Tasmania,2003,Wet/storm risk,Wheat,3.6996612803444826,477.1,2.592934782608696,0,0,19,72.60000000000002,19.6,0,29,Barley,2.824049547677169,0.8756117326673136
Australia,Tasmania,2004,Wet/storm risk,Wheat,4.427050900888146,327.3,1.778804347826087,0,0,18,38.6,36.5,1,22,Barley,3.369141440754968,1.0579094601331778
Australia,Tasmania,2005,Wet/storm risk,Wheat,4.54510820781245,488.8999999999999,2.657065217391304,0,0,17,93.6,30.3,0,20,Barley,3.399086991123884,1.146021216688566
Australia,Tasmania,2006,Dry-spell stress,Wheat,2.511448297497588,187.9,1.0211956521739132,0,0,33,21.7,4.800000000000001,0,42,Barley,2.2986328397815816,0.2128154577160064
Australia,Tasmania,2007,Cold/frost stress,Wheat,3.9256425647784754,321.2,1.7456521739130435,0,0,12,45.0,14.3,0,28,Barley,2.8077868274691005,1.117855737309375
Australia,Tasmania,2008,Cold/frost stress,Wheat,4.030486353304164,258.7,1.4059782608695652,0,0,21,45.0,1.3,0,27,Barley,2.8349546506152987,1.1955317026888657
Australia,Tasmania,2009,Wet/storm risk,Wheat,4.152889211725895,464.69999999999993,2.525543478260869,0,0,24,39.10000000000001,5.9,1,10,Barley,3.157439014145353,0.9954501975805417
Australia,Tasmania,2010,Cold/frost stress,Wheat,4.185273438667458,413.9,2.2494565217391305,0,0,16,48.0,25.0,0,34,Barley,3.090375499864547,1.0948979388029114
Australia,Tasmania,2011,Wet/storm risk,Wheat,4.615771127697295,335.7,1.8244565217391304,0,0,27,65.7,22.9,0,29,Barley,3.42274969187733,1.193021435819965
Australia,Tasmania,2012,Wet/storm risk,Wheat,4.545278076569284,372.0,2.0217391304347827,0,0,11,73.19999999999999,11.8,0,24,Barley,3.461160763507989,1.084117313061295
Australia,Tasmania,2013,Wet/storm risk,Wheat,5.248548623391982,534.2,2.9032608695652176,0,0,21,60.8,12.2,0,24,Barley,4.238474560771404,1.0100740626205784
Australia,Tasmania,2014,Wet/storm risk,Wheat,4.660307978828863,311.3,1.6918478260869565,0,0,22,56.5,17.700000000000003,0,22,Barley,3.4826566334429545,1.1776513453859083
Australia,Tasmania,2015,Cold/frost stress,Wheat,4.575752698481972,259.5,1.4103260869565215,0,0,32,36.0,0.7,0,36,Barley,3.4127329794896277,1.1630197189923446
Australia,Tasmania,2016,Wet/storm risk,Wheat,4.619777323265275,573.5,3.1168478260869565,0,0,8,46.5,26.7,0,16,Barley,3.761644039642033,0.8581332836232418
Australia,Tasmania,2017,Cold/frost stress,Wheat,4.359297411555957,317.0,1.7228260869565215,0,0,17,37.0,15.799999999999995,0,36,Barley,3.4254102625963,0.933887148959657
Australia,Tasmania,2018,Wet/storm risk,Wheat,4.329566820747431,344.3,1.871195652173913,0,0,20,37.0,28.3,0,31,Barley,3.273720526566854,1.0558462941805766
Australia,Tasmania,2019,Cold/frost stress,Wheat,4.3623871512042,307.7,1.6722826086956522,0,0,11,29.8,15.7,0,31,Barley,3.2419528937763267,1.1204342574278736
Australia,Tasmania,2020,Wet/storm risk,Wheat,4.675928621381764,341.1,1.853804347826087,0,0,10,54.3,32.7,0,25,Barley,3.7505368511988735,0.9253917701828902
Australia,Tasmania,2021,Wet/storm risk,Wheat,5.231213645856375,415.2000000000001,2.256521739130435,0,0,11,39.3,67.3,1,19,Barley,4.239335007133777,0.9918786387225982
Australia,Victoria,1989,Wet/storm risk,Wheat,2.0138507962377554,381.4,2.0728260869565216,0,0,9,66.0,29.9,0,5,Oats,1.8186298321496928,0.19522096408806267
Australia,Victoria,1990,Wet/storm risk,Oats,1.722906255504896,246.7,1.3407608695652171,1,4,17,50.2,15.4,0,2,Wheat,1.5607508611884475,0.16215539431644843
Australia,Victoria,1991,Moderate season,Oats,1.888508509561583,302.8,1.6456521739130436,0,2,39,37.3,0.5,0,3,Wheat,1.7568664550549862,0.13164205450659683
Australia,Victoria,1992,Wet/storm risk,Wheat,2.688152904064665,437.5,2.377717391304348,0,0,15,48.2,40.89999999999999,0,8,Barley,2.1171276988270336,0.5710252052376315
Australia,Victoria,1993,Wet/storm risk,Wheat,2.2515021710005607,335.40000000000003,1.8228260869565216,0,0,14,50.5,27.5,0,4,Oats,2.1989587871602136,0.05254338384034707
Australia,Victoria,1994,Moderate season,Oats,1.2426587699656186,156.7,0.8516304347826086,0,2,25,34.7,11.000000000000002,0,22,Wheat,1.224373052006984,0.01828571795863465
Australia,Victoria,1995,Wet/storm risk,Wheat,2.259567455640377,418.6,2.275,0,0,18,73.7,69.80000000000001,1,5,Barley,2.1275969116873994,0.1319705439529777
Australia,Victoria,1996,Wet/storm risk,Wheat,1.996918119393876,368.2,2.001086956521739,0,1,24,52.7,0.2,0,6,Oats,1.95904004125248,0.0378780781413961
Australia,Victoria,1997,Moderate season,Oats,1.871415557265232,276.5,1.502717391304348,0,3,21,39.8,18.9,0,20,Wheat,1.84837966762118,0.02303588964405212
Australia,Victoria,1998,Moderate season,Oats,2.013972884460113,213.2,1.158695652173913,0,2,16,43.2,9.4,0,20,Wheat,1.7176298684709508,0.29634301598916224
Australia,Victoria,1999,Moderate season,Wheat,2.099891493531988,276.5,1.502717391304348,0,0,14,45.2,8.1,0,5,Oats,2.0897577464862573,0.010133747045730779
